beat_index_0,source_bar,beat_in_bar,source_time_sec,retained_in_recommended_edit,edited_bar,edited_time_sec
0,1,1,0.248222,true,1,0.248222
1,1,2,0.702767,true,1,0.702767
2,1,3,1.157313,true,1,1.157313
3,1,4,1.611858,true,1,1.611858
4,2,1,2.066404,true,2,2.066404
5,2,2,2.520949,true,2,2.520949
6,2,3,2.975494,true,2,2.975494
7,2,4,3.430040,true,2,3.430040
8,3,1,3.884585,true,3,3.884585
9,3,2,4.339131,true,3,4.339131
10,3,3,4.793676,true,3,4.793676
11,3,4,5.248222,true,3,5.248222
12,4,1,5.702767,true,4,5.702767
13,4,2,6.157313,true,4,6.157313
14,4,3,6.611858,true,4,6.611858
15,4,4,7.066404,true,4,7.066404
16,5,1,7.520949,true,5,7.520949
17,5,2,7.975494,true,5,7.975494
18,5,3,8.430040,true,5,8.430040
19,5,4,8.884585,true,5,8.884585
20,6,1,9.339131,true,6,9.339131
21,6,2,9.793676,true,6,9.793676
22,6,3,10.248222,true,6,10.248222
23,6,4,10.702767,true,6,10.702767
24,7,1,11.157313,true,7,11.157313
25,7,2,11.611858,true,7,11.611858
26,7,3,12.066404,true,7,12.066404
27,7,4,12.520949,true,7,12.520949
28,8,1,12.975494,true,8,12.975494
29,8,2,13.430040,true,8,13.430040
30,8,3,13.884585,true,8,13.884585
31,8,4,14.339131,true,8,14.339131
32,9,1,14.793676,true,9,14.793676
33,9,2,15.248222,true,9,15.248222
34,9,3,15.702767,true,9,15.702767
35,9,4,16.157313,true,9,16.157313
36,10,1,16.611858,true,10,16.611858
37,10,2,17.066404,true,10,17.066404
38,10,3,17.520949,true,10,17.520949
39,10,4,17.975494,true,10,17.975494
40,11,1,18.430040,true,11,18.430040
41,11,2,18.884585,true,11,18.884585
42,11,3,19.339131,true,11,19.339131
43,11,4,19.793676,true,11,19.793676
44,12,1,20.248222,true,12,20.248222
45,12,2,20.702767,true,12,20.702767
46,12,3,21.157313,true,12,21.157313
47,12,4,21.611858,true,12,21.611858
48,13,1,22.066404,true,13,22.066404
49,13,2,22.520949,true,13,22.520949
50,13,3,22.975494,true,13,22.975494
51,13,4,23.430040,true,13,23.430040
52,14,1,23.884585,true,14,23.884585
53,14,2,24.339131,true,14,24.339131
54,14,3,24.793676,true,14,24.793676
55,14,4,25.248222,true,14,25.248222
56,15,1,25.702767,true,15,25.702767
57,15,2,26.157313,true,15,26.157313
58,15,3,26.611858,true,15,26.611858
59,15,4,27.066404,true,15,27.066404
60,16,1,27.520949,true,16,27.520949
61,16,2,27.975494,true,16,27.975494
62,16,3,28.430040,true,16,28.430040
63,16,4,28.884585,true,16,28.884585
64,17,1,29.339131,true,17,29.339131
65,17,2,29.793676,true,17,29.793676
66,17,3,30.248222,true,17,30.248222
67,17,4,30.702767,true,17,30.702767
68,18,1,31.157313,true,18,31.157313
69,18,2,31.611858,true,18,31.611858
70,18,3,32.066404,true,18,32.066404
71,18,4,32.520949,true,18,32.520949
72,19,1,32.975494,true,19,32.975494
73,19,2,33.430040,true,19,33.430040
74,19,3,33.884585,true,19,33.884585
75,19,4,34.339131,true,19,34.339131
76,20,1,34.793676,true,20,34.793676
77,20,2,35.248222,true,20,35.248222
78,20,3,35.702767,true,20,35.702767
79,20,4,36.157313,true,20,36.157313
80,21,1,36.611858,true,21,36.611858
81,21,2,37.066404,true,21,37.066404
82,21,3,37.520949,true,21,37.520949
83,21,4,37.975494,true,21,37.975494
84,22,1,38.430040,true,22,38.430040
85,22,2,38.884585,true,22,38.884585
86,22,3,39.339131,true,22,39.339131
87,22,4,39.793676,true,22,39.793676
88,23,1,40.248222,true,23,40.248222
89,23,2,40.702767,true,23,40.702767
90,23,3,41.157313,true,23,41.157313
91,23,4,41.611858,true,23,41.611858
92,24,1,42.066404,true,24,42.066404
93,24,2,42.520949,true,24,42.520949
94,24,3,42.975494,true,24,42.975494
95,24,4,43.430040,true,24,43.430040
96,25,1,43.884585,false,,
97,25,2,44.339131,false,,
98,25,3,44.793676,false,,
99,25,4,45.248222,false,,
100,26,1,45.702767,false,,
101,26,2,46.157313,false,,
102,26,3,46.611858,false,,
103,26,4,47.066404,false,,
104,27,1,47.520949,false,,
105,27,2,47.975494,false,,
106,27,3,48.430040,false,,
107,27,4,48.884585,false,,
108,28,1,49.339131,false,,
109,28,2,49.793676,false,,
110,28,3,50.248222,false,,
111,28,4,50.702767,false,,
112,29,1,51.157313,false,,
113,29,2,51.611858,false,,
114,29,3,52.066404,false,,
115,29,4,52.520949,false,,
116,30,1,52.975494,false,,
117,30,2,53.430040,false,,
118,30,3,53.884585,false,,
119,30,4,54.339131,false,,
120,31,1,54.793676,false,,
121,31,2,55.248222,false,,
122,31,3,55.702767,false,,
123,31,4,56.157313,false,,
124,32,1,56.611858,false,,
125,32,2,57.066404,false,,
126,32,3,57.520949,false,,
127,32,4,57.975494,false,,
128,33,1,58.430040,false,,
129,33,2,58.884585,false,,
130,33,3,59.339131,false,,
131,33,4,59.793676,false,,
132,34,1,60.248222,false,,
133,34,2,60.702767,false,,
134,34,3,61.157313,false,,
135,34,4,61.611858,false,,
136,35,1,62.066404,false,,
137,35,2,62.520949,false,,
138,35,3,62.975494,false,,
139,35,4,63.430040,false,,
140,36,1,63.884585,false,,
141,36,2,64.339131,false,,
142,36,3,64.793676,false,,
143,36,4,65.248222,false,,
144,37,1,65.702767,false,,
145,37,2,66.157313,false,,
146,37,3,66.611858,false,,
147,37,4,67.066404,false,,
148,38,1,67.520949,false,,
149,38,2,67.975494,false,,
150,38,3,68.430040,false,,
