source_bars,start_sec,end_sec,rms_dbfs,crest_factor,transients_per_sec
1-4,0.248222,7.520949,-7.716,4.074,8.938
5-8,7.520949,14.793676,-8.399,4.423,8.800
9-12,14.793676,22.066404,-6.394,3.631,8.800
13-16,22.066404,29.339131,-6.516,3.929,9.075
17-20,29.339131,36.611858,-5.703,3.182,9.350
21-24,36.611858,43.884585,-6.080,3.367,8.800
25-28,43.884585,51.157313,-5.696,3.144,9.075
29-32,51.157313,58.430040,-6.067,3.318,8.938
33-36,58.430040,65.702767,-5.927,3.325,8.800
37-40,65.702767,72.975494,-6.695,4.075,8.938
41-44,72.975494,80.248222,-12.841,6.428,9.487
45-48,80.248222,87.520949,-13.174,7.091,9.213
49-52,87.520949,94.793676,-11.178,5.317,8.937
53-56,94.793676,102.066404,-10.162,4.898,9.350
57-60,102.066404,109.339131,-9.277,4.572,8.525
61-64,109.339131,116.611858,-8.212,4.345,9.075
65-68,116.611858,123.884585,-7.435,4.157,9.075
69-72,123.884585,131.157313,-7.792,4.150,8.800
73-76,131.157313,138.430040,-5.712,3.173,8.662
77-80,138.430040,145.702767,-5.756,3.342,8.663
81-84,145.702767,152.975494,-5.703,3.320,8.800
85-88,152.975494,160.248222,-5.984,3.439,9.350
89-92,160.248222,167.520949,-6.153,3.454,9.212
93-96,167.520949,174.793676,-7.015,3.922,8.663
97-100,174.793676,182.066404,-5.891,3.293,9.075
101-104,182.066404,189.339131,-6.352,3.405,8.937
